date;volume;issue;MODS;number of pages;number of words;number of articles;words per article;number of independent articles;words per independent article;characters per independent article;number of independent articles with author information;number of articles in sections;words per article in sections;characters per article in sections
1906-02-25;1;1;../metadata/oclc_4770057679-i_1.MODS.xml;56;11968;52;230.15384615384616;11;467.1818181818182;2120.818181818182;4;41;167.3658536585366;741.1951219512196
1906-02-25;1;10;../metadata/oclc_4770057679-i_10.MODS.xml;1;19487;42;463.9761904761905;12;1163.25;5412.5;5;30;185.33333333333334;849.0666666666667
1906-02-25;1;11;../metadata/oclc_4770057679-i_11.MODS.xml;1;16483;46;358.32608695652175;11;925.4545454545455;4239.636363636364;2;35;162.54285714285714;728.5714285714286
1906-02-25;1;12;../metadata/oclc_4770057679-i_12.MODS.xml;1;17024;37;460.1081081081081;13;947.5384615384615;4431.384615384615;4;24;197.25;902.9583333333334
;;;../metadata/oclc_4770057679-i_13.MODS.xml;0;12403;20;620.15;8;918.25;4181;4;12;391.4166666666667;1760
;;;../metadata/oclc_4770057679-i_14.MODS.xml;0;13926;23;605.4782608695652;6;1831;8129.5;4;17;163.76470588235293;754.2941176470588
;;;../metadata/oclc_4770057679-i_15.MODS.xml;0;17902;50;358.04;11;1155.2727272727273;5231.454545454545;4;39;134.25641025641025;620.6666666666666
;;;../metadata/oclc_4770057679-i_16.MODS.xml;0;19701;20;985.05;8;1711.5;7724.5;1;12;501.75;2165.5
;;;../metadata/oclc_4770057679-i_17.MODS.xml;0;15876;26;610.6153846153846;9;1462.6666666666667;6551.222222222223;3;17;160.58823529411765;754.4705882352941
;;;../metadata/oclc_4770057679-i_18.MODS.xml;0;15595;31;503.06451612903226;9;1451.888888888889;6631.333333333333;0;22;115.95454545454545;526.6363636363636
;;;../metadata/oclc_4770057679-i_19.MODS.xml;0;14593;25;583.72;5;1886.8;8889.6;3;20;258.7;1157.8
1906-03-27;1;2;../metadata/oclc_4770057679-i_2.MODS.xml;56;12455;25;498.2;15;568.4;2632.8;2;10;356.6;1575
;;;../metadata/oclc_4770057679-i_20.MODS.xml;0;15545;38;409.07894736842104;5;1418.6;6541.4;2;33;256.93939393939394;1127.3939393939395
;;;../metadata/oclc_4770057679-i_21.MODS.xml;0;17430;37;471.0810810810811;4;2391;10939.75;2;33;239.15151515151516;1088.3030303030303
;;;../metadata/oclc_4770057679-i_22.MODS.xml;0;17308;38;455.4736842105263;9;975.4444444444445;4568.777777777777;2;29;295.0344827586207;1370.551724137931
;;;../metadata/oclc_4770057679-i_23.MODS.xml;0;17533;36;487.02777777777777;8;1899;8513.375;0;28;84.64285714285714;405.17857142857144
;;;../metadata/oclc_4770057679-i_24.MODS.xml;0;18315;36;508.75;9;1687.4444444444443;7881.666666666667;1;27;116.85185185185185;553.4814814814815
1908-02-04;3;1;../metadata/oclc_4770057679-i_25.MODS.xml;80;25735;69;372.9710144927536;10;1917.3;8675.7;5;59;147.4915254237288;679.8135593220339
1908-03-05;3;2;../metadata/oclc_4770057679-i_26.MODS.xml;80;27846;53;525.3962264150944;9;2057.6666666666665;9140.333333333334;4;44;212.9318181818182;978.75
1908-04-03;3;3;../metadata/oclc_4770057679-i_27.MODS.xml;64;22160;17;1303.5294117647059;6;3257.5;14127.333333333334;4;11;238.27272727272728;1092.8181818181818
1908-05-03;3;4;../metadata/oclc_4770057679-i_28.MODS.xml;71;24680;58;425.51724137931035;44;590.5227272727273;2635.931818181818;4;14;185.57142857142858;865.2142857142857
1908-06-01;3;5;../metadata/oclc_4770057679-i_29.MODS.xml;64;17938;24;747.4166666666666;5;3116.6;14175.2;4;19;124.47368421052632;592.2631578947369
1906-02-25;1;3;../metadata/oclc_4770057679-i_3.MODS.xml;3;12588;33;381.45454545454544;17;642;2998;2;16;134.125;632.1875
1908-07-01;3;6;../metadata/oclc_4770057679-i_30.MODS.xml;56;15756;19;829.2631578947369;5;1890.6;8730;2;14;450.42857142857144;2031.4285714285713
1908-07-30;3;7;../metadata/oclc_4770057679-i_31.MODS.xml;64;20588;24;857.8333333333334;8;2242.125;9932.875;4;16;166.3125;788.1875
1908-08-29;3;8;../metadata/oclc_4770057679-i_32.MODS.xml;56;19647;41;479.1951219512195;4;3119.25;14070;3;37;194.48648648648648;902.7297297297297
1908-09-27;3;9;../metadata/oclc_4770057679-i_33.MODS.xml;1;21634;20;1081.7;5;3345.4;15228.6;1;15;327.46666666666664;1492.8666666666666
1908-10-27;3;10;../metadata/oclc_4770057679-i_34.MODS.xml;1;21728;21;1034.6666666666667;5;4067.2;18895.8;1;16;87.5;404.875
1908-11-25;3;11;../metadata/oclc_4770057679-i_35.MODS.xml;1;24395;6;4065.8333333333335;6;4065.1666666666665;18951;1;0;NaN;NaN
1908-12-25;3;12;../metadata/oclc_4770057679-i_36.MODS.xml;1;16140;26;620.7692307692307;7;1766.7142857142858;7804;1;19;199.47368421052633;909
1909-01-23;4;1;../metadata/oclc_4770057679-i_37.MODS.xml;70;18574;38;488.7894736842105;7;1828.5714285714287;8082;4;31;187.19354838709677;876.2258064516129
1909-02-22;4;2;../metadata/oclc_4770057679-i_38.MODS.xml;64;17893;23;777.9565217391304;9;1633.7777777777778;7458;5;14;228.78571428571428;1044.5
1909-03-23;4;3;../metadata/oclc_4770057679-i_39.MODS.xml;71;20323;31;655.5806451612904;8;1816.25;8439.375;5;23;252.7826086956522;1169.9130434782608
1906-02-25;1;4;../metadata/oclc_4770057679-i_4.MODS.xml;1;11131;34;327.38235294117646;13;626.6153846153846;2868.4615384615386;5;21;143.14285714285714;651.8571428571429
1909-04-22;4;4;../metadata/oclc_4770057679-i_40.MODS.xml;64;19544;27;723.8518518518518;10;1713.8;7866.1;6;17;142.47058823529412;665
;4;5;../metadata/oclc_4770057679-i_41.MODS.xml;104;30421;11;2765.5454545454545;6;4120.166666666667;17899.5;5;5;292.2;1397.4
1909-07-19;4;7;../metadata/oclc_4770057679-i_42.MODS.xml;88;28830;27;1067.7777777777778;7;2145.285714285714;9850.857142857143;1;20;691.6;3123.9
1909-08-18;4;8;../metadata/oclc_4770057679-i_43.MODS.xml;63;17187;24;716.125;3;4559.666666666667;20935.666666666668;1;21;167.76190476190476;770.0952380952381
1909-09-16;4;9;../metadata/oclc_4770057679-i_44.MODS.xml;64;18034;32;563.5625;4;3152;14555.5;3;28;194.60714285714286;879.8214285714286
1909-10-16;4;10;../metadata/oclc_4770057679-i_45.MODS.xml;64;16901;30;563.3666666666667;6;2085.6666666666665;9635.333333333334;4;24;183.83333333333334;843.2916666666666
1909-11-14;4;11;../metadata/oclc_4770057679-i_46.MODS.xml;64;18682;31;602.6451612903226;7;1819.857142857143;8299.42857142857;3;24;248.70833333333334;1166.5416666666667
1909-12-14;4;12;../metadata/oclc_4770057679-i_47.MODS.xml;79;21139;41;515.5853658536586;8;2287.375;10661.875;5;33;82.9090909090909;394.4848484848485
1910-01-13;5;1;../metadata/oclc_4770057679-i_48.MODS.xml;85;22495;46;489.0217391304348;5;3255.6;15045.8;3;41;152.609756097561;712.7073170731708
1910-02-12;5;2;../metadata/oclc_4770057679-i_49.MODS.xml;72;19462;27;720.8148148148148;5;2627.8;12141.8;2;22;288.3636363636364;1354.7727272727273
1906-02-25;1;5;../metadata/oclc_4770057679-i_5.MODS.xml;1;10381;32;324.40625;7;905.4285714285714;4155;4;25;142.8;654.8
1910-03-13;5;3;../metadata/oclc_4770057679-i_50.MODS.xml;64;20373;13;1567.1538461538462;6;2709.8333333333335;12503.5;4;7;589;2726.5714285714284
1910-04-12;5;4;../metadata/oclc_4770057679-i_51.MODS.xml;64;20310;59;344.23728813559325;7;2038.2857142857142;9348.42857142857;3;52;116.59615384615384;553.5192307692307
1910-05-11;5;5;../metadata/oclc_4770057679-i_52.MODS.xml;64;19476;68;286.4117647058824;52;327.78846153846155;1512.076923076923;5;16;155.3125;718.9375
1910-06-10;5;6;../metadata/oclc_4770057679-i_53.MODS.xml;80;23528;25;941.12;6;3028.6666666666665;13779.166666666666;4;19;282.89473684210526;1338.842105263158
1910-07-09;5;7;../metadata/oclc_4770057679-i_54.MODS.xml;56;16515;17;971.4705882352941;6;1614.3333333333333;7352.166666666667;4;11;621.8181818181819;2809
1910-08-08;5;8;../metadata/oclc_4770057679-i_55.MODS.xml;56;16979;19;893.6315789473684;5;1623.6;7810.6;1;14;633.9285714285714;2998.1428571428573
1910-09-06;5;9;../metadata/oclc_4770057679-i_56.MODS.xml;64;20076;28;717;4;3458.25;15638;3;24;260.5416666666667;1192.6666666666667
1910-10-06;5;10;../metadata/oclc_4770057679-i_57.MODS.xml;64;19553;12;1629.4166666666667;4;4056.5;18333;1;8;416.625;1936.375
1910-11-04;5;11;../metadata/oclc_4770057679-i_58.MODS.xml;64;18363;6;3060.5;6;3061;14044.166666666666;3;0;NaN;NaN
1910-12-04;5;12;../metadata/oclc_4770057679-i_59.MODS.xml;64;18445;19;970.7894736842105;6;2623.8333333333335;11774.666666666666;4;13;208.84615384615384;981.4615384615385
1906-02-25;1;6;../metadata/oclc_4770057679-i_6.MODS.xml;1;10778;25;431.12;9;743.2222222222222;3515.1111111111113;3;16;207.75;947.75
1911-01-02;6;1;../metadata/oclc_4770057679-i_60.MODS.xml;87;27723;28;990.1071428571429;7;2579.714285714286;11683;2;21;461.14285714285717;2162.4285714285716
1911-02-01;6;2;../metadata/oclc_4770057679-i_61.MODS.xml;88;27736;64;433.375;2;6923.5;30293.5;1;62;224.96774193548387;1039.3709677419354
1911-03-02;6;3;../metadata/oclc_4770057679-i_62.MODS.xml;88;26105;40;652.625;3;4388.666666666667;19201.333333333332;1;37;350.6756756756757;1622.837837837838
1911-04-01;6;4;../metadata/oclc_4770057679-i_63.MODS.xml;64;19677;5;3935.4;5;3935.8;17550;5;0;NaN;NaN
1911-04-30;6;5;../metadata/oclc_4770057679-i_64.MODS.xml;56;15694;9;1743.7777777777778;2;5674;25495;0;7;621.5714285714286;2928.5714285714284
1911-05-30;6;6;../metadata/oclc_4770057679-i_65.MODS.xml;56;17874;16;1117.125;1;13353;60759;0;15;302.2;1454.0666666666666
1911-06-28;6;7;../metadata/oclc_4770057679-i_66.MODS.xml;64;17553;64;274.265625;25;536.24;2495.72;5;39;129.46153846153845;604.3076923076923
1911-07-28;6;8;../metadata/oclc_4770057679-i_67.MODS.xml;56;17180;16;1073.75;6;2076.3333333333335;9430.666666666666;5;10;473.3;2158.3
1911-08-26;6;9;../metadata/oclc_4770057679-i_68.MODS.xml;56;14995;42;357.0238095238095;5;1583.8;7035.4;5;37;192.24324324324326;935.3783783783783
1911-09-25;6;10;../metadata/oclc_4770057679-i_69.MODS.xml;64;19422;35;554.9142857142857;14;987.5;4511.857142857143;2;21;291.6190476190476;1368.142857142857
1906-02-25;1;7;../metadata/oclc_4770057679-i_7.MODS.xml;1;15988;53;301.66037735849056;14;792.4285714285714;3687.214285714286;5;39;120.64102564102564;563.8974358974359
1911-10-24;6;11;../metadata/oclc_4770057679-i_70.MODS.xml;56;17385;19;915;3;4926.333333333333;22217;2;16;163.75;776.0625
1911-11-23;6;12;../metadata/oclc_4770057679-i_71.MODS.xml;64;20063;33;607.969696969697;3;3003;13761.333333333334;0;30;369.4;1685.7666666666667
1911-12-22;7;1;../metadata/oclc_4770057679-i_72.MODS.xml;80;22009;25;880.36;6;2830.6666666666665;13290.5;1;19;253.3684210526316;1157.842105263158
1912-01-21;7;2;../metadata/oclc_4770057679-i_73.MODS.xml;1;24777;14;1769.7857142857142;6;3440.6666666666665;15541.5;2;8;517.375;2401.125
1912-02-19;7;3;../metadata/oclc_4770057679-i_74.MODS.xml;1;24659;21;1174.2380952380952;3;6555;30878;0;18;277.94444444444446;1267
1912-03-20;7;4;../metadata/oclc_4770057679-i_75.MODS.xml;1;25072;35;716.3428571428572;3;5479.333333333333;25580.333333333332;1;32;270.53125;1288.125
1912-04-18;7;5;../metadata/oclc_4770057679-i_76.MODS.xml;1;22827;9;2536.3333333333335;6;2821;12641.333333333334;4;3;1967.6666666666667;9143.333333333334
1912-05-18;7;6;../metadata/oclc_4770057679-i_77.MODS.xml;2;22652;30;755.0666666666667;10;1986.9;9058.5;2;20;140.25;652.05
1912-06-16;7;7;../metadata/oclc_4770057679-i_78.MODS.xml;1;20339;39;521.5128205128206;4;3629.25;16748.25;1;35;167.22857142857143;786.0285714285715
1912-07-16;7;8;../metadata/oclc_4770057679-i_79.MODS.xml;1;22279;26;856.8846153846154;4;4409;20428.75;1;22;211.86363636363637;975.7727272727273
1906-02-25;1;8;../metadata/oclc_4770057679-i_8.MODS.xml;1;16392;43;381.2093023255814;10;1104.7;5033;4;33;162.9090909090909;753.3636363636364
1912-08-14;7;9;../metadata/oclc_4770057679-i_80.MODS.xml;0;20843;20;1042.15;6;1437.3333333333333;6346;4;14;873.6428571428571;4156.214285714285
1912-09-13;7;10;../metadata/oclc_4770057679-i_81.MODS.xml;0;23330;8;2916.25;5;3099.6;14355.8;2;3;274.3333333333333;1253.3333333333333
1912-10-12;7;11;../metadata/oclc_4770057679-i_82.MODS.xml;0;23838;41;581.4146341463414;6;1907.6666666666667;8764.666666666666;0;35;355.0285714285714;1658.2857142857142
1912-11-11;7;12;../metadata/oclc_4770057679-i_83.MODS.xml;0;23012;26;885.0769230769231;6;2600.8333333333335;11895.666666666666;4;20;371.05;1806.6
;8;1;../metadata/oclc_4770057679-i_84.MODS.xml;55;16201;7;2314.4285714285716;7;2315.285714285714;10717.857142857143;2;0;NaN;NaN
;8;2;../metadata/oclc_4770057679-i_85.MODS.xml;80;23277;29;802.6551724137931;5;3141.2;14810;1;24;316.2083333333333;1480.2083333333333
;8;3;../metadata/oclc_4770057679-i_86.MODS.xml;96;29064;26;1117.8461538461538;9;2981.3333333333335;13719.111111111111;0;17;132.1764705882353;613.5882352941177
;8;4;../metadata/oclc_4770057679-i_87.MODS.xml;88;27879;18;1548.8333333333333;6;3956.3333333333335;17858.833333333332;1;12;345.9166666666667;1600.6666666666667
;8;5;../metadata/oclc_4770057679-i_88.MODS.xml;80;25651;46;557.6304347826087;5;3368.8;15682.6;1;41;215.6341463414634;992.1463414634146
;8;6;../metadata/oclc_4770057679-i_89.MODS.xml;80;25770;31;831.2903225806451;8;2577.75;12057.875;2;23;224.82608695652175;1033.9130434782608
1906-02-25;1;9;../metadata/oclc_4770057679-i_9.MODS.xml;1;18957;41;462.3658536585366;12;1039.0833333333333;4884.25;3;29;226.10344827586206;1014.6206896551724
;8;7;../metadata/oclc_4770057679-i_90.MODS.xml;81;23640;28;844.2857142857143;10;1980;9190.7;4;18;214.5;989.9444444444445
;8;8;../metadata/oclc_4770057679-i_91.MODS.xml;80;23832;33;722.1818181818181;8;2389.625;11184.625;4;25;187.04;853.68
;8;9;../metadata/oclc_4770057679-i_92.MODS.xml;81;22288;27;825.4814814814815;9;2063.222222222222;9568.444444444445;5;18;207.66666666666666;949.9444444444445
;8;10;../metadata/oclc_4770057679-i_93.MODS.xml;80;23534;15;1568.9333333333334;10;1855.2;9060.9;4;5;997.2;4691
;8;11;../metadata/oclc_4770057679-i_94.MODS.xml;80;22630;20;1131.5;9;2291.8888888888887;10462.777777777777;5;11;179.63636363636363;810.6363636363636
;9;1;../metadata/oclc_4770057679-i_95.MODS.xml;9;27152;25;1086.08;14;1654.2142857142858;7624.642857142857;5;11;364.1818181818182;1754.4545454545455
;9;2;../metadata/oclc_4770057679-i_96.MODS.xml;0;26427;14;1887.642857142857;11;2146.090909090909;9769;9;3;941;4495